epoch,train_loss,val_loss,accuracy,macro_f1,weighted_f1
1,1.0714826965332032,0.9867987973349435,0.5988,0.2523,0.4498
2,0.9526837158203125,0.9065460818154472,0.5975,0.2493,0.447
3,0.9029520797729492,0.8702445455959865,0.5975,0.2493,0.447
4,0.8789691162109375,0.8535126532827105,0.5975,0.2493,0.447
5,0.8635467910766601,0.8422472902706691,0.5975,0.2495,0.4473
6,0.8555164909362794,0.8310233524867466,0.6025,0.2613,0.4585
7,0.8442284488677978,0.8215308870588031,0.6112,0.2834,0.4795
8,0.833863468170166,0.8121141961642674,0.6312,0.3278,0.5224
9,0.8256559562683106,0.8037647604942322,0.6412,0.3538,0.5467
10,0.8072040271759033,0.795528769493103,0.6512,0.3754,0.5675
11,0.7990946197509765,0.7881812964166913,0.665,0.3975,0.5892
12,0.787270097732544,0.7812470367976597,0.67,0.4098,0.6004
13,0.7852174091339111,0.7757288302694049,0.675,0.4234,0.6127
14,0.779947304725647,0.7707044567380633,0.6788,0.4281,0.6182
15,0.7747749996185302,0.7666061350277492,0.6775,0.4296,0.6189
16,0.7656315183639526,0.7621908954211644,0.675,0.428,0.6168
17,0.7638571739196778,0.759449941771371,0.68,0.4421,0.6255
18,0.7592595815658569,0.756707855633327,0.68,0.4428,0.626
19,0.7573887038230896,0.7544550980840411,0.68,0.4449,0.6275
20,0.7548636102676392,0.7526186449187142,0.68,0.4456,0.628
21,0.7545038771629333,0.7508552159581866,0.6812,0.4464,0.629
22,0.7459715747833252,0.7500264900071281,0.6825,0.4485,0.631
23,0.7437805700302124,0.7491818411009652,0.6812,0.4545,0.6318
24,0.7474595308303833,0.7483844586781093,0.6812,0.4545,0.6318
25,0.7417598390579223,0.7478972928864616,0.6838,0.4568,0.6343
26,0.7409384059906006,0.7474726012774876,0.6838,0.4568,0.6343
27,0.7426179718971252,0.7472300103732518,0.6838,0.4568,0.6343
28,0.7426731395721435,0.7470570802688599,0.6838,0.4568,0.6343
29,0.7438461565971375,0.7469852566719055,0.6838,0.4568,0.6343
30,0.7427062511444091,0.7469620108604431,0.6838,0.4568,0.6343
